split,name,pred_foreground_ratio,pred_component_count,pred_profile_count,pred_profile_total_length,pred_cd_mean,pred_cd_std,pred_lwr_3sigma,pred_ler_low_3sigma,pred_ler_high_3sigma,pred_ler_mean_3sigma,pred_edge_psd_hf_ratio_1d,pred_necking_score,pred_bulging_score,disagreement,fg_dev,cc_dev,label
in_dist,00000717,0.61278915,8.0,8.0,4096.0,39.218506,0.91646466,2.749394,1.9521496,2.1334721,2.0428108,0.035875831,0.092633394,0.093497864,0.009036021606436795,0.00043488000000002636,0.0,False
in_dist,00000720,0.395401,5.0,5.0,2560.0,40.489063,0.87313984,2.6194195,2.1182029,2.0948418,2.1065224,0.039815111,0.094739944,0.059174444,0.006878965844307694,0.0005187999999999859,0.0,False
in_dist,00000723,0.63293457,11.0,11.0,5566.0,29.809558,0.99401144,2.9820343,2.4612557,2.770181,2.6157183,0.043268542,0.90731505,0.20490441,0.010673136291241003,0.0009727499999999667,0.0,False
in_dist,00000728,0.62054062,8.0,8.0,4096.0,39.7146,0.86575795,2.5972738,1.8492625,2.1927476,2.021005,0.035252852,0.066660098,0.069360793,0.0068117358055846955,0.0006332399999999794,0.0,False
in_dist,00000731,0.45942307,6.0,6.0,3072.0,39.204102,0.83938645,2.5181594,1.4467244,1.9357801,1.6912523,0.048035168,0.083626489,0.070010449,0.006954685527981952,3.051999999997834e-05,0.0,False
in_dist,00000735,0.40614319,5.0,5.0,2560.0,41.589062,0.88573016,2.6571905,1.8671123,2.0270102,1.9470612,0.046162668,0.080051066,0.058696367,0.006336925056073528,0.000255580000000033,0.0,False
in_dist,00000741,0.5857811,8.0,8.0,4096.0,37.48999,0.90537442,2.7161233,2.0085151,1.8524385,1.9304768,0.046073362,0.080257287,0.068088312,0.009072047800047334,0.001235960000000036,0.0,False
in_dist,00000742,0.32269287,6.0,6.0,2103.0,40.226343,2.4624426,7.3873277,4.1971375,3.7715264,3.9843319,0.031280257,0.92756933,0.15771202,0.008146185933564531,0.0004844700000000146,0.0,False
in_dist,00000746,0.37221909,5.0,5.0,2560.0,38.115234,0.85807622,2.5742287,1.5037205,1.8676397,1.6856801,0.046832163,0.092198582,0.066469172,0.006589761567351249,0.0006980899999999846,0.0,False
in_dist,00000754,0.40809631,5.0,5.0,2560.0,41.789062,0.87715697,2.6314709,1.8581046,1.9525264,1.9053155,0.046189754,0.081570997,0.076082388,0.006598064170886708,7.24800000000414e-05,0.0,False
in_dist,00000763,0.61340332,10.0,10.0,4891.0,32.876712,1.8386194,5.5158582,4.0804867,4.1026374,4.091562,0.029078198,0.80444547,0.24776604,0.008695598835010476,0.0004806499999999714,0.0,False
