fold,model,name,iou,abs_err_cd_mean,abs_err_lwr_3sigma,abs_err_ler_mean_3sigma
0,deeplabv3plus,94,0.9859784834394084,0.0021701389,0.2310037,0.14625041
0,deeplabv3plus,97,0.4727877532490004,,,
0,deeplabv3plus,99,0.9860879078623485,0.037415047,0.58643432,0.3561431
0,deeplabv3plus,103,0.9877500724841816,0.080322266,0.42513286,0.27804725
0,deeplabv3plus,107,0.9858283028231575,0.063337054,0.39770859,0.30714109
0,deeplabv3plus,111,0.9864078395461934,0.0390625,0.4542115,0.32636518
0,deeplabv3plus,117,0.9868807317185533,0.079833984,0.34265926,0.27051486
0,deeplabv3plus,118,0.9874149371044121,0.039306641,0.37964288,0.2610826
0,deeplabv3plus,127,0.9707933042888199,0.79960938,0.42030216,0.29717062
0,deeplabv3plus,129,0.9864979619559233,0.023925781,0.38797559,0.24785052
0,deeplabv3plus,130,0.9845196793867014,0.009765625,0.62021031,0.37528188
0,deeplabv3plus,141,0.9869642456536448,0.051757812,0.39062176,0.26131069
0,deeplabv3plus,142,0.9866356070288979,0.02734375,0.26361205,0.17501786
0,deeplabv3plus,149,0.9856766207287107,0.02734375,0.54344947,0.36778114
0,deeplabv3plus,151,0.9826174248421682,0.046875,0.34495148,0.20017666
0,deeplabv3plus,160,0.9867036413604103,0.051842144,0.4389288,0.3063367
0,deeplabv3plus,161,0.9863334519141208,0.039453125,0.42490071,0.25283311
0,deeplabv3plus,167,0.9870627732059685,0.041015625,0.32241466,0.2281176
0,deeplabv3plus,170,0.9828254052825376,0.26061272,1.4047464,0.59421738
0,deeplabv3plus,173,0.986164257929077,0.028164615,0.19246764,0.13785423
0,deeplabv3plus,179,0.9877425373125114,0.007421875,0.37113127,0.24509057
0,deeplabv3plus,183,0.983035037602115,0.051215278,0.14846515,0.073517588
0,deeplabv3plus,187,0.9865100219062034,0.071289062,0.41986997,0.25691121
0,deeplabv3plus,191,0.9785990944620747,0.05300119,0.27962714,0.15189383
0,deeplabv3plus,193,0.9863441400355606,0.054361979,0.51361507,0.32762537
0,deeplabv3plus,194,0.9860543900313751,0.085100446,0.41648147,0.24729362
0,deeplabv3plus,198,0.9846496641498625,0.0546875,0.40285225,0.34100311
0,deeplabv3plus,408,0.9854455368882807,0.082594494,0.22169098,0.27711288
0,deeplabv3plus,411,0.9842142965103315,0.021575514,0.17842441,0.09969376
0,deeplabv3plus,412,0.9848282707187012,0.021158746,0.048934345,0.052447161
0,deeplabv3plus,413,0.9851350021022337,0.052292913,0.34852366,0.20898093
0,deeplabv3plus,424,0.9867563645948321,0.015263437,0.19127253,0.085619587
0,deeplabv3plus,425,0.980778973089101,0.09094974,0.91036726,0.38109772
0,deeplabv3plus,435,0.9862221440202986,0.00055803571,0.28373072,0.23100705
0,deeplabv3plus,442,0.9841544363912257,0.084655928,0.39229832,0.15963437
